2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:832			blockid: 1746 开始运行
2018-1-20 15:49:7:832			blockid: 1746 存在逻辑错误1,200000000035614
2018-1-20 15:49:7:832			blockid: 1747 开始运行
2018-1-20 15:49:7:832			blockid: 1747 存在逻辑错误1,200000000035615
2018-1-20 15:49:7:832			blockid: 1748 开始运行
2018-1-20 15:49:7:832			blockid: 1748 存在逻辑错误1,200000000035616
2018-1-20 15:49:7:832			blockid: 1748 存在逻辑错误1,200000000035624
2018-1-20 15:49:7:832			blockid: 1749 开始运行
2018-1-20 15:49:7:832			blockid: 1749 存在逻辑错误1,200000000035618
2018-1-20 15:49:7:832			blockid: 1749 存在逻辑错误1,200000000035626
2018-1-20 15:49:7:832			blockid: 1750 开始运行
2018-1-20 15:49:7:832			blockid: 1750 存在逻辑错误1,200000000035619
2018-1-20 15:49:7:832			blockid: 1750 存在逻辑错误1,200000000035623
2018-1-20 15:49:7:832			blockid: 1751 开始运行
2018-1-20 15:49:7:832			blockid: 1751 存在逻辑错误1,200000000035620
2018-1-20 15:49:7:832			blockid: 1752 开始运行
2018-1-20 15:49:7:832			blockid: 1752 存在逻辑错误1,200000000035621
2018-1-20 15:49:7:832			blockid: 1753 开始运行
2018-1-20 15:49:7:832			blockid: 1753 存在逻辑错误1,200000000035622
2018-1-20 15:49:7:832			blockid: 1753 存在逻辑错误1,200000000035646
2018-1-20 15:49:7:832			blockid: 1753 存在逻辑错误1,200000000035647
2018-1-20 15:49:7:832			blockid: 1753 存在逻辑错误1,200000000035682
2018-1-20 15:49:7:832			blockid: 1754 开始运行
2018-1-20 15:49:7:832			blockid: 1754 存在逻辑错误1,200000000035628
2018-1-20 15:49:7:832			blockid: 1754 存在逻辑错误1,200000000035644
2018-1-20 15:49:7:832			blockid: 1755 开始运行
2018-1-20 15:49:7:832			blockid: 1755 存在逻辑错误1,200000000035629
2018-1-20 15:49:7:832			blockid: 1756 开始运行
2018-1-20 15:49:7:832			blockid: 1756 存在逻辑错误1,200000000035630
2018-1-20 15:49:7:832			blockid: 1757 开始运行
2018-1-20 15:49:7:832			blockid: 1757 存在逻辑错误1,200000000035631
2018-1-20 15:49:7:832			blockid: 1758 开始运行
2018-1-20 15:49:7:832			blockid: 1758 存在逻辑错误1,200000000035632
2018-1-20 15:49:7:832			blockid: 1759 开始运行
2018-1-20 15:49:7:832			blockid: 1759 存在逻辑错误1,200000000035633
2018-1-20 15:49:7:832			blockid: 1760 开始运行
2018-1-20 15:49:7:832			blockid: 1760 存在逻辑错误1,200000000035634
2018-1-20 15:49:7:832			blockid: 1760 存在逻辑错误1,200000000035726
2018-1-20 15:49:7:832			blockid: 1761 开始运行
2018-1-20 15:49:7:832			blockid: 1761 存在逻辑错误1,200000000035635
2018-1-20 15:49:7:832			blockid: 1761 存在逻辑错误1,200000000035636
2018-1-20 15:49:7:832			blockid: 1762 开始运行
2018-1-20 15:49:7:832			blockid: 1762 存在逻辑错误1,200000000035637
2018-1-20 15:49:7:833			blockid: 1763 开始运行
2018-1-20 15:49:7:833			blockid: 1763 存在逻辑错误1,200000000035638
2018-1-20 15:49:7:833			blockid: 1764 开始运行
2018-1-20 15:49:7:833			blockid: 1764 存在逻辑错误1,200000000035639
2018-1-20 15:49:7:833			blockid: 1765 开始运行
2018-1-20 15:49:7:833			blockid: 1765 存在逻辑错误1,200000000035640
2018-1-20 15:49:7:833			blockid: 1766 开始运行
